"","block","signals","offset","response"
"2103","audioVibro",3,100,0
"2104","audioVibro",3,600,0
"2105","audioVibro",3,400,0
"2106","audioVibro",3,500,0
"2107","audioVibro",3,300,0
"2108","audioVibro",3,600,0
"2109","audioVibro",3,0,1
"2110","audioVibro",3,100,0
"2111","audioVibro",3,100,0
"2112","audioVibro",3,300,0
"2113","audioVibro",3,200,0
"2114","audioVibro",3,300,0
"2115","audioVibro",3,500,0
"2116","audioVibro",3,600,0
"2117","audioVibro",3,100,0
"2118","audioVibro",3,300,0
"2119","audioVibro",3,100,0
"2120","audioVibro",3,0,1
"2121","audioVibro",3,200,0
"2122","audioVibro",3,500,0
"2123","audioVibro",3,200,0
"2124","audioVibro",3,600,0
"2125","audioVibro",3,400,0
"2126","audioVibro",3,500,0
"2127","audioVibro",3,400,0
"2128","audioVibro",3,600,0
"2129","audioVibro",3,0,1
"2130","audioVibro",3,500,0
"2131","audioVibro",3,100,1
"2132","audioVibro",3,400,0
"2133","audioVibro",3,0,1
"2134","audioVibro",3,400,0
"2135","audioVibro",3,0,1
"2136","audioVibro",3,400,0
"2137","audioVibro",3,300,0
"2138","audioVibro",3,0,1
"2139","audioVibro",3,200,0
"2140","audioVibro",3,200,0
"2141","audioVibro",3,500,0
"2142","audioVibro",3,200,0
"2143","kinesthetic",2,0,1
"2144","kinesthetic",2,200,0
"2145","kinesthetic",2,300,0
"2146","kinesthetic",2,100,0
"2147","kinesthetic",2,400,0
"2148","kinesthetic",2,0,1
"2149","kinesthetic",2,500,0
"2150","kinesthetic",2,200,0
"2151","kinesthetic",2,400,0
"2152","kinesthetic",2,600,0
"2153","kinesthetic",2,200,0
"2154","kinesthetic",2,0,1
"2155","kinesthetic",2,300,0
"2156","kinesthetic",2,400,0
"2157","kinesthetic",2,600,0
"2158","kinesthetic",2,100,0
"2159","kinesthetic",2,300,0
"2160","kinesthetic",2,600,0
"2161","kinesthetic",2,200,0
"2162","kinesthetic",2,600,0
"2163","kinesthetic",2,200,0
"2164","kinesthetic",2,300,0
"2165","kinesthetic",2,500,0
"2166","kinesthetic",2,400,0
"2167","kinesthetic",2,0,1
"2168","kinesthetic",2,600,0
"2169","kinesthetic",2,400,0
"2170","kinesthetic",2,300,0
"2171","kinesthetic",2,400,0
"2172","kinesthetic",2,100,0
"2173","kinesthetic",2,0,1
"2174","kinesthetic",2,0,1
"2175","kinesthetic",2,100,1
"2176","kinesthetic",2,500,0
"2177","kinesthetic",2,500,0
"2178","kinesthetic",2,300,0
"2179","kinesthetic",2,200,0
"2180","kinesthetic",2,500,0
"2181","kinesthetic",2,100,0
"2182","kinesthetic",2,600,0
"2183","kinesthetic",2,100,0
"2184","kinesthetic",2,500,0
"2185","vibro",2,0,1
"2186","vibro",2,300,0
"2187","vibro",2,300,0
"2188","vibro",2,600,0
"2189","vibro",2,100,1
"2190","vibro",2,300,0
"2191","vibro",2,600,0
"2192","vibro",2,500,0
"2193","vibro",2,200,0
"2194","vibro",2,400,0
"2195","vibro",2,200,0
"2196","vibro",2,0,1
"2197","vibro",2,200,0
"2198","vibro",2,500,0
"2199","vibro",2,600,0
"2200","vibro",2,600,0
"2201","vibro",2,500,0
"2202","vibro",2,0,1
"2203","vibro",2,100,1
"2204","vibro",2,600,0
"2205","vibro",2,200,0
"2206","vibro",2,0,1
"2207","vibro",2,500,0
"2208","vibro",2,400,0
"2209","vibro",2,400,0
"2210","vibro",2,400,0
"2211","vibro",2,500,0
"2212","vibro",2,200,0
"2213","vibro",2,300,0
"2214","vibro",2,500,0
"2215","vibro",2,100,0
"2216","vibro",2,300,0
"2217","vibro",2,0,1
"2218","vibro",2,100,1
"2219","vibro",2,100,1
"2220","vibro",2,400,0
"2221","vibro",2,600,0
"2222","vibro",2,400,0
"2223","vibro",2,200,0
"2224","vibro",2,100,0
"2225","vibro",2,300,0
"2226","vibro",2,0,1
"2227","audioKines",3,600,0
"2228","audioKines",3,200,0
"2229","audioKines",3,100,0
"2230","audioKines",3,100,1
"2231","audioKines",3,600,0
"2232","audioKines",3,400,0
"2233","audioKines",3,300,0
"2234","audioKines",3,200,0
"2235","audioKines",3,100,0
"2236","audioKines",3,300,0
"2237","audioKines",3,600,0
"2238","audioKines",3,400,0
"2239","audioKines",3,500,0
"2240","audioKines",3,300,0
"2241","audioKines",3,100,0
"2242","audioKines",3,0,1
"2243","audioKines",3,0,1
"2244","audioKines",3,300,0
"2245","audioKines",3,200,0
"2246","audioKines",3,600,0
"2247","audioKines",3,500,0
"2248","audioKines",3,100,0
